,FullName,University,SubField,Bachelors,Doctorate,GoogleScholar,Drafty
0,Adam Doupé,Arizona State University,ecom,Arizona State University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Adam+Doupé&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Adam%20Doupé&searchCol=0&searchVal=Adam%20Doupé
1,"Ruoyu Fish"" Wang""",Arizona State University,sec,Arizona State University,"University of California, Santa Barbara","https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ruoyu+Fish""+Wang""&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40","https://drafty.cs.brown.edu/csprofessors?src=csor_Ruoyu%20Fish""%20Wang""&searchCol=0&searchVal=Ruoyu%20Fish""%20Wang"""
2,Yan Shoshitaishvili,Arizona State University,sec,Rensselaer Polytechnic Institute,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Yan+Shoshitaishvili&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Yan%20Shoshitaishvili&searchCol=0&searchVal=Yan%20Shoshitaishvili
3,Gianluca Stringhini,Boston University,sec,University of Genoa,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Gianluca+Stringhini&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Gianluca%20Stringhini&searchCol=0&searchVal=Gianluca%20Stringhini
4,Priya Narasimhan,Carnegie Mellon University,bed,S.J.M.V: B.A.J.S.S Arts & Commerce College For Women,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Priya+Narasimhan&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Priya%20Narasimhan&searchCol=0&searchVal=Priya%20Narasimhan
5,Xia Zhou,Dartmouth College,comm,Wuhan University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Xia+Zhou&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Xia%20Zhou&searchCol=0&searchVal=Xia%20Zhou
6,D. Martin Swany,Indiana University Bloomington,hpc,University of Tennessee,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=D.+Martin+Swany&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_D.%20Martin%20Swany&searchCol=0&searchVal=D.%20Martin%20Swany
7,Ted Huffmire,Naval Postgraduate School,sec,Princeton University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ted+Huffmire&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Ted%20Huffmire&searchCol=0&searchVal=Ted%20Huffmire
8,Alexandros Kapravelos,North Carolina State University,sec,University of Crete,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Alexandros+Kapravelos&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Alexandros%20Kapravelos&searchCol=0&searchVal=Alexandros%20Kapravelos
9,Christo Wilson,Northeastern University,act,"University of California, Santa Barbara","University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Christo+Wilson&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Christo%20Wilson&searchCol=0&searchVal=Christo%20Wilson
10,Mirek Riedewald,Northeastern University,mod,Saarland University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Mirek+Riedewald&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Mirek%20Riedewald&searchCol=0&searchVal=Mirek%20Riedewald
11,William K. Robertson,Northeastern University,sec,"University of California, Santa Barbara","University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=William+K.+Robertson&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_William%20K.%20Robertson&searchCol=0&searchVal=William%20K.%20Robertson
12,Huan Sun,Ohio State University,mlmining,University of Science and Technology of China,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Huan+Sun&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Huan%20Sun&searchCol=0&searchVal=Huan%20Sun
13,Yu Su,Ohio State University,nlp,Tsinghua University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Yu+Su&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Yu%20Su&searchCol=0&searchVal=Yu%20Su
14,Sunil Prabhakar,Purdue University,mod,Indian Institute of Technology Delhi,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Sunil+Prabhakar&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Sunil%20Prabhakar&searchCol=0&searchVal=Sunil%20Prabhakar
15,Stacy Patterson,Rensselaer Polytechnic Institute,hpc,Rutgers University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Stacy+Patterson&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Stacy%20Patterson&searchCol=0&searchVal=Stacy%20Patterson
16,Nima Khademi Kalantari,Texas A&M University,graph,Amirkabir University of Technology,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Nima+Khademi+Kalantari&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Nima%20Khademi%20Kalantari&searchCol=0&searchVal=Nima%20Khademi%20Kalantari
17,Elizabeth M. Belding,"University of California, Santa Barbara",comm,Florida State University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Elizabeth+M.+Belding&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Elizabeth%20M.%20Belding&searchCol=0&searchVal=Elizabeth%20M.%20Belding
18,Angus G. Forbes,"University of California, Santa Cruz",bio,University of Florida,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Angus+G.+Forbes&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Angus%20G.%20Forbes&searchCol=0&searchVal=Angus%20G.%20Forbes
19,Faisal Nawab,"University of California, Irvine",mod,King Fahd University of Petroleum and Minerals,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Faisal+Nawab&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Faisal%20Nawab&searchCol=0&searchVal=Faisal%20Nawab
20,Ricardo G. Sanfelice,"University of California, Santa Cruz",log,National University of Mar del Plata,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ricardo+G.+Sanfelice&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Ricardo%20G.%20Sanfelice&searchCol=0&searchVal=Ricardo%20G.%20Sanfelice
21,Aaron J. Elmore,University of Chicago,mod,DePaul University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Aaron+J.+Elmore&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Aaron%20J.%20Elmore&searchCol=0&searchVal=Aaron%20J.%20Elmore
22,Tamer Kahveci,University of Florida,bio,Bilkent University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Tamer+Kahveci&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Tamer%20Kahveci&searchCol=0&searchVal=Tamer%20Kahveci
23,Tuba Yavuz-Kahveci,University of Florida,bio,Bilkent University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Tuba+Yavuz-Kahveci&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Tuba%20Yavuz-Kahveci&searchCol=0&searchVal=Tuba%20Yavuz-Kahveci
24,Gang Wang,University of Illinois at Urbana-Champaign,sec,Tsinghua University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Gang+Wang&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Gang%20Wang&searchCol=0&searchVal=Gang%20Wang
25,Ceren Budak,University of Michigan,ir,Bilkent University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ceren+Budak&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Ceren%20Budak&searchCol=0&searchVal=Ceren%20Budak
26,Kamil Saraç,University of Texas at Dallas,comm,Middle East Technical University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Kamil+Saraç&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Kamil%20Saraç&searchCol=0&searchVal=Kamil%20Saraç
27,S. Q. Zheng,University of Texas at Dallas,comm,Jilin University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=S.+Q.+Zheng&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_S.%20Q.%20Zheng&searchCol=0&searchVal=S.%20Q.%20Zheng
28,Yang Cao,Virginia Tech,bio,University of Science and Technology of China,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Yang+Cao&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Yang%20Cao&searchCol=0&searchVal=Yang%20Cao
29,Zhe Dang,Washington State University,bed,Nanjing University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Zhe+Dang&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Zhe%20Dang&searchCol=0&searchVal=Zhe%20Dang
30,Saiph Savage,Northeastern University,ai,National Autonomous University of Mexico,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Saiph+Savage&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Saiph%20Savage&searchCol=0&searchVal=Saiph%20Savage
31,Sujaya Maiyya,Augusta University,mod,PES University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Sujaya+Maiyya&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Sujaya%20Maiyya&searchCol=0&searchVal=Sujaya%20Maiyya
32,Wenhu Chen,University of Waterloo,act,Huazhong University of Science and Technology,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Wenhu+Chen&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Wenhu%20Chen&searchCol=0&searchVal=Wenhu%20Chen
33,Charles Davis Roberts,Worcester Polytechnic Institute,chi,James Madison University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Charles+Davis+Roberts&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Charles%20Davis%20Roberts&searchCol=0&searchVal=Charles%20Davis%20Roberts
34,Gushu Li,University of Pennsylvania,act,Tsinghua University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Gushu+Li&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Gushu%20Li&searchCol=0&searchVal=Gushu%20Li
35,Xin Eric Wang,"University of California, Santa Cruz",ai,Zhejiang University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Xin+Eric+Wang&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Xin%20Eric%20Wang&searchCol=0&searchVal=Xin%20Eric%20Wang
36,Mohammad Javad Amiri,Stony Brook University,mod,Iran University of Science and Technology,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Mohammad+Javad+Amiri&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Mohammad%20Javad%20Amiri&searchCol=0&searchVal=Mohammad%20Javad%20Amiri
37,Andréa W. Richa,Arizona State University,act,Dalhousie University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Andréa+W.+Richa&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Andréa%20W.%20Richa&searchCol=0&searchVal=Andréa%20W.%20Richa
38,Tiffany Bao,Arizona State University,sec,Peking University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Tiffany+Bao&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Tiffany%20Bao&searchCol=0&searchVal=Tiffany%20Bao
39,Babis Tsourakakis,Boston University,arch,National Technical University of Athens,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Babis+Tsourakakis&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Babis%20Tsourakakis&searchCol=0&searchVal=Babis%20Tsourakakis
40,Derry Tanti Wijaya,Boston University,nlp,National University of Singapore,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Derry+Tanti+Wijaya&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Derry%20Tanti%20Wijaya&searchCol=0&searchVal=Derry%20Tanti%20Wijaya
41,Hongwei Xi,Boston University,plan,Nanjing University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Hongwei+Xi&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Hongwei%20Xi&searchCol=0&searchVal=Hongwei%20Xi
42,Adam Wierman,California Institute of Technology,ops,Carnegie Mellon University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Adam+Wierman&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Adam%20Wierman&searchCol=0&searchVal=Adam%20Wierman
43,Alexander Hauptmann,Carnegie Mellon University,nlp,Johns Hopkins University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Alexander+Hauptmann&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Alexander%20Hauptmann&searchCol=0&searchVal=Alexander%20Hauptmann
44,Alexander Waibel,Carnegie Mellon University,mlmining,Massachusetts Institute of Technology,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Alexander+Waibel&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Alexander%20Waibel&searchCol=0&searchVal=Alexander%20Waibel
45,Alonzo Kelly,Carnegie Mellon University,robotics,University of Toronto,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Alonzo+Kelly&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Alonzo%20Kelly&searchCol=0&searchVal=Alonzo%20Kelly
46,Bryan Parno,Carnegie Mellon University,crypt,Harvard University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Bryan+Parno&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Bryan%20Parno&searchCol=0&searchVal=Bryan%20Parno
47,Carolyn Penstein Rosé,Carnegie Mellon University,nlp,"University of California, Irvine",Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Carolyn+Penstein+Rosé&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Carolyn%20Penstein%20Rosé&searchCol=0&searchVal=Carolyn%20Penstein%20Rosé
48,Chris Harrison,Carnegie Mellon University,chi,New York University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Chris+Harrison&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Chris%20Harrison&searchCol=0&searchVal=Chris%20Harrison
49,David Brumley,Carnegie Mellon University,sec,University of Northern Colorado,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=David+Brumley&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_David%20Brumley&searchCol=0&searchVal=David%20Brumley
50,David Garlan,Carnegie Mellon University,arch,Amherst College,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=David+Garlan&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_David%20Garlan&searchCol=0&searchVal=David%20Garlan
51,Eric Nyberg,Carnegie Mellon University,ai,Boston University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Eric+Nyberg&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Eric%20Nyberg&searchCol=0&searchVal=Eric%20Nyberg
52,Frank Pfenning,Carnegie Mellon University,plan,Technische Universität Darmstadt,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Frank+Pfenning&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Frank%20Pfenning&searchCol=0&searchVal=Frank%20Pfenning
53,Geoffrey J. Gordon,Carnegie Mellon University,mlmining,Cornell University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Geoffrey+J.+Gordon&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Geoffrey%20J.%20Gordon&searchCol=0&searchVal=Geoffrey%20J.%20Gordon
54,J. Andrew Bagnell,Carnegie Mellon University,mlmining,University of Florida,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=J.+Andrew+Bagnell&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_J.%20Andrew%20Bagnell&searchCol=0&searchVal=J.%20Andrew%20Bagnell
55,Jack Mostow,Carnegie Mellon University,robotics,Harvard University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Jack+Mostow&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Jack%20Mostow&searchCol=0&searchVal=Jack%20Mostow
56,James K. Baker,Carnegie Mellon University,chi,Princeton University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=James+K.+Baker&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_James%20K.%20Baker&searchCol=0&searchVal=James%20K.%20Baker
57,James McCann,Carnegie Mellon University,graph,University of Michigan,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=James+McCann&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_James%20McCann&searchCol=0&searchVal=James%20McCann
58,Jeffrey Eppinger,Carnegie Mellon University,soft,Carnegie Mellon University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Jeffrey+Eppinger&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Jeffrey%20Eppinger&searchCol=0&searchVal=Jeffrey%20Eppinger
59,Jessica K. Hodgins,Carnegie Mellon University,graph,Yale University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Jessica+K.+Hodgins&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Jessica%20K.%20Hodgins&searchCol=0&searchVal=Jessica%20K.%20Hodgins
60,Jodi Forlizzi,Carnegie Mellon University,chi,The University of the Arts,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Jodi+Forlizzi&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Jodi%20Forlizzi&searchCol=0&searchVal=Jodi%20Forlizzi
61,Kemal Oflazer,Carnegie Mellon University,nlp,Middle East Technical University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Kemal+Oflazer&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Kemal%20Oflazer&searchCol=0&searchVal=Kemal%20Oflazer
62,Ken Koedinger,Carnegie Mellon University,chi,University of Wisconsin-Madison,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ken+Koedinger&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Ken%20Koedinger&searchCol=0&searchVal=Ken%20Koedinger
63,Laura A. Dabbish,Carnegie Mellon University,chi,University of Southern California,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Laura+A.+Dabbish&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Laura%20A.%20Dabbish&searchCol=0&searchVal=Laura%20A.%20Dabbish
64,Leman Akoglu,Carnegie Mellon University,mlmining,Bilkent University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Leman+Akoglu&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Leman%20Akoglu&searchCol=0&searchVal=Leman%20Akoglu
65,Levent Burak Kara,Carnegie Mellon University,mlmining,Middle East Technical University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Levent+Burak+Kara&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Levent%20Burak%20Kara&searchCol=0&searchVal=Levent%20Burak%20Kara
66,Luis von Ahn,Carnegie Mellon University,sec,Duke University,Carnegie Mellon University,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Luis+von+Ahn&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Luis%20von%20Ahn&searchCol=0&searchVal=Luis%20von%20Ahn
